"fecha_de_registro","referencia_de_la_oferta","identificador_de_la_oferta","valor_de_la_oferta","entidad_compradora","nit_entidad_compradora","moneda","descripcion_del_procedimiento","referencia_del_proceso","id_del_proceso_de_compra","modalidad","invitacion_directa","nombre_proveedor","nit_del_proveedor","codigo_entidad","codigo_proveedor"
"2022-03-07T00:00:00.000","POLICIA TERMOHI","CO1.RPL.2619218","714000","ESPOL","800226849","COP","PRESTACIÓN DE SERVICIO PARA LA CALIBRACIÓN DE INSTRUMENTOS DE MEDICIÓN TERMOHIGROMETROS DE LA ESCUELA DE POSTGRADOS DE POLICÍA MIGUEL ANTONIO LLERAS PIZARRO","PN ESPOL MIC 001 2022","CO1.BDOS.2832904","Mínima cuantía","No","METLAB SAS","901125565","701695355","707430120"
"2023-05-05T00:00:00.000","CONVENIO ATENEAFDL CHAPINERO0022023","CO1.RPL.3378749","1480000000","ALCALDÍA LOCAL DE CHAPINERO  FONDO DE DESARROLLO LOCAL","899999061","COP","Aunar esfuerzos técnicos administrativos jurídicos y financieros para la implementación del Programa Jóvenes a la U para el acceso y la permanencia de las y los jóvenes en la ciudad de Bogotá particularmente para los jóvenes de la localidad de Chapinero","FDLCHCIA1452023","CO1.BDOS.4360593","Contratación Directa (con ofertas)","Si","AGENCIA DISTRITAL PARA LA EDUCACIÓN SUPERIOR LA CIENCIA Y LA TECNOLOGÍA ATENEA","901508361","700599038","715791422"
"2018-03-22T00:00:00.000","MEGAOBRAS  PERSIANAS","CO1.RPL.476638","8702700","ESPOL","800226849","COP","ADQUISICIÓN DE CORTINAS PARA LA ESCUELA DE POSTGRADOS DE POLICÍA MIGUEL ANTONIO LLERAS PIZARRO","PN ESPOL MIC 001 2018","CO1.BDOS.375412","Mínima cuantía","No","MEGAOBRAS CONSTRUCCIONES LIVIANAS SAS","900896239","701695355","704127356"
"2021-10-15T00:00:00.000","POLICIA LIBRO","CO1.RPL.2387303","17000000","ESPOL","800226849","COP","SERVICIO DE IMPRESIÓN Y TRABAJOS TIPOGRÁFICOS MATERIAL DE MERCHANDISING","PN ESPOL MIC 014 2021","CO1.BDOS.2307374","Mínima cuantía","No","PROMOMARKA SAS","9004898751","701695355","702915984"
"2023-04-25T00:00:00.000","MCCMCCDAE0042023","CO1.RPL.3358718","2557200","SENA REGIONAL CUNDINAMARCA Grupo Administrativo CDAE","899999034","COP","Contratar el suministro de alimentación del trabajador oficial del Centro de Desarrollo Agroindustrial y Empresarial Regional Cundinamarca","MCCMCCDAE0042023","CO1.BDOS.4316826","Mínima cuantía","No","karol alejandra muñoz ospina","1000181597","704162254","715548277"
"2021-11-30T00:00:00.000","Oferta Vivienda Fiscal 1","CO1.RPL.2476404","87300000","ESPOL","800226849","COP","MANTENIMIENTO INTEGRAL PREVENTIVO Y CORRECTIVO PARA LA VIVIENDA FISCAL No 1 ASIGNADA A LA ESCUELA DE POSTGRADOS DE POLICÍA MIGUEL ANTONIO LLERAS PIZARRO A PRECIOS UNITARIOS FIJOS SIN FÓRMULA DE REAJUSTE","PN ESPOL MIC 025 2021","CO1.BDOS.2412118","Mínima cuantía","No","ENFOQUE SERVICIOS INMOBILIARIOS SAS","901411948","701695355","714406261"
"2021-03-23T00:00:00.000","HDI SEGUROS VIDA SMCGB0052021","CO1.RPL.1992629","19169250","GOBERNACIÓN DE BOYACÁ","891800498","COP","ADQUIRIR POLIZA DE SEGURO DE VIDA GRUPO QUE AMPARE AL GOBERNADOR DEL DEPARTAMENTO Y LOS DIPUTADOS DE LA ASAMBLEA DEPARTAMENTAL DE BOYACA","SMCGB0052021","CO1.BDOS.1861350","Mínima cuantía","No","HDI GENERALES","8600048756","702727819","702574328"
"2017-11-30T00:00:00.000","MANTENIMIENTO GENERAL TRANSFORMADORES PAD MOUNTED Y TIPO POSTE","CO1.RPL.374810","20844128","ESPOL","800226849","COP","MANTENIMIENTO GENERAL TRANSFORMADORES PAD MOUNTED Y TIPO POSTE","PN ESPOL MIC 016 2017","CO1.BDOS.255857","Mínima cuantía","No","DISEÑO Y MANTENIMIENTO ELÉCTRICO INDUSTRIAL SAS","9007138571","701695355","700524044"
"2018-06-04T00:00:00.000","MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE EQUIPOS AUDIOVISUALES SONIDO Y CÓMPUTO","CO1.RPL.560436","22489000","ESPOL","800226849","COP","MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE EQUIPOS AUDIOVISUALES SONIDO Y CÓMPUTO","PN ESPOL MIC 009 2018","CO1.BDOS.427918","Mínima cuantía","No","audio Class inversiones y asesores SAS","830509523","701695355","703914044"
"2018-11-22T00:00:00.000","OFERTA JARDINERÍA Y MANTENIMIENTO DE ZONAS VERDES ESPOL 2018","CO1.RPL.769257","69000000","ESPOL","800226849","COP","PRESTACIÓN DE SERVICIO DE JARDINERÍA TRATAMIENTO Y MANEJO SILVICULTURAL","PN ESPOL MIC 020 2018","CO1.BDOS.601544","Mínima cuantía","No","LEIDY YOLIMA OCHOA GUIZA","55118373","701695355","700811094"
"2018-05-21T00:00:00.000","027 de 2018","CO1.RPL.548282","954000","EPMSCCALI","805007945","COP","No Definido","MC 027 DE 2018","CO1.BDOS.422017","Mínima cuantía","No","ferroeclectricos 20 de julio","67020548","701747461","703874180"
"2021-03-15T00:00:00.000","GESCOM  PN ESPOL MIC 005 2021","CO1.RPL.1978738","19773000","ESPOL","800226849","COP","ADQUISICIÓN DE BANDERAS MOHARRAS ASTAS BASES Y PRENDAS BLANCAS PARA LA ESCUELA DE POSTGRADOS DE POLICÍA MIGUEL ANTONIO LLERAS PIZARRO","PN ESPOL MIC 005 2021","CO1.BDOS.1824179","Mínima cuantía","No","GESCOM SAS","830145023","701695355","700960172"
"2020-12-10T00:00:00.000","PN ESPOL MIC 024 2020","CO1.RPL.1856979","51442444","ESPOL","800226849","COP","ADQUISICIÓN E INSTALACIÓN A TODO COSTO DE CORTINAS","PN ESPOL MIC 024 2020","CO1.BDOS.1599727","Mínima cuantía","No","GESCOM SAS","830145023","701695355","700960172"
"2021-11-04T00:00:00.000","ESPOL SEÑALIZACION","CO1.RPL.2422644","13630000","ESPOL","800226849","COP","ADQUISICIÓN E INSTALACION DE SEÑALIZACION VISUAL","PN ESPOL MIC 017 2021","CO1.BDOS.2341633","Mínima cuantía","No","OFICINAS INTEGRALES Y TECNOLOGIA OFINTECH SAS","900747426","701695355","711960070"
"2020-10-01T00:00:00.000","INTERADMINISTRATIVO SERVICIOS TRAZADORESEXT","CO1.RPL.1730168","5429350134","DEPARTAMENTO DEL META","8920001488","COP","CONVENIO INTERADMINISTRATIVO PARA CONCURRIR EN LA FINANCIACIÓN DE LA OPERACIÓN DE LA PRESTACIÓN DE SERVICIOS Y TECNOLOGÍAS EFECTUADAS POR LA EMPRESA SOCIAL DEL ESTADO SOLUCION SALUD A LA POBLACION UBICADAS EN ZONAS ALEJADAS O DE DIFÍCIL ACCESO QUE SEAN MONOPOLIO EN SERVICIOS TRAZADORES Y NO SOSTENIBLES POR VENTA DE SERVICIOS EN CUMPLIMIENTO DEL ART 235 DE LA LEY 1955 DE 2019","SSMCD119 DE 2020","CO1.BDOS.1479080","Contratación Directa (con ofertas)","Si","USUARIO INACTIVO ESE SOLUCION SALUD","8220065951","700817075","703057802"
"2022-04-21T00:00:00.000","OFERTA IPMCDTCA0272022","CO1.RPL.2702415","3568334","PARQUES NACIONALES NATURALES DE COLOMBIA  DIRECCION TERRITORIAL CARIBE","819000759","COP","Contratar el mantenimiento preventivo y correctivo incluyendo mano de obra calificada repuestos y accesorios originales así como los trámites respectivos para la expedición del certificado de tecnomecánica para las motocicletas asignadas al Parque Nacional Natural Paramillo","IPMCDTCA0272022","CO1.BDOS.2899410","Mínima cuantía","No","INCOLMOTOS YAMAHA SA","890916911","701252041","700750110"
"2018-10-31T00:00:00.000","CENTRAL DE SUMINISTROMIC0172018","CO1.RPL.743334","18900000","ESPOL","800226849","COP","ADQUISICIÓN DE ELEMENTOS DE PAPELERÍA ÚTILES DE ESCRITORIO Y CONSUMIBLES DE IMPRESIÓN","PN ESPOL MIC 017 2018","CO1.BDOS.579152","Mínima cuantía","No","CENTRAL DE SUMINISTROS LTDA","804003744","701695355","703589531"
"2023-04-27T00:00:00.000","3301 CJ ESPOL  BP","CO1.RPL.3359684","5328000","ESPOL","800226849","COP","ARRENDAMIENTO DE UN ESPACIO FÍSICO DENTRO DE LAS INSTALACIONES DE LA ESCUELA DE POSTGRADOS DE POLICIA PARA EL FUNCIONAMIENTO DE UN CAJERO AUTOMÁTICO","PN ESPOL CD 008 2023","CO1.BDOS.4329976","Contratación Directa (con ofertas)","Si","BANCO POPULAR SA","8600077389","701695355","700357049"
"2020-07-10T00:00:00.000","ESPOL  BVA","CO1.RPL.1582698","10821336","ESPOL","800226849","COP","ADQUISICIÓN DE ELEMENTOS PARA LA PREVENCIÓN ATENCIÓN Y MITIGACIÓN DE LA EMERGENCIA SANITARIA PROVOCADA POR EL COVID19 Fumigadora con motor eléctrico Dispensador gel antibacterial automático Mascara respiradora de rostro completo y Guantes de poliuretano","PN ESPOL MIC 006 2020","CO1.BDOS.1322733","Mínima cuantía","No","BELISARIO VELASQUEZ Y ASOCIADOS SAS","830504600","701695355","702308172"
"2022-09-26T00:00:00.000","ELECTRY copia","CO1.RPL.3000132","142840656","ESPOL","800226849","COP","MANTENIMIENTO REDES ELÉCTRICAS SUBTERRANIZACIÓN MEDIA TENSIÓN FASE IV INCLUYE ACOMETIDAS ELÉCTRICAS INSTALACIÓN DE TRANSFORMADOR TABLEROS DE DISTRIBUCIÓN Y ALUMBRADO PÚBLICO A PRECIOS UNITARIOS FIJOS SIN FORMULA DE REAJUSTE","PN ESPOL SA MC 002 2022 Manifestación de interés Menor Cuantía Presentación de oferta","CO1.BDOS.3200218","Selección Abreviada de Menor Cuantía","Si","Eléctricas Reyes Ltda","802017852","701695355","704405299"
"2017-12-20T00:00:00.000","Powersun  Espol","CO1.RPL.392213","32130000","ESPOL","800226849","COP","ADQUISICIÓN INSTALACIÓN Y PUESTA EN FUNCIONAMIENTO DE UNA UPS","PN ESPOL MIC 020 2017","CO1.BDOS.270318","Mínima cuantía","No","POWERSUN SAS","900098348","701695355","700189020"
"2019-12-10T00:00:00.000","ICCUCM049VIAS CUNDINAMARCA","CO1.RPL.1288925","2743562550","INSTITUTO DE INFRAESTRUCTURA Y CONCESIONES DE CUNDINAMARCA","900258711","COP","CONTRATAR LOS ESTUDIOS Y DISEÑOS DE VÍAS PARA MEJORAR LA COMPETITIVIDAD DEL DEPARTAMENTO DE CUNDINAMARCA","ICCUCM049 DE 2019 Presentación de oferta","CO1.BDOS.984023","Concurso de méritos abierto","No","GEICOL SAS","800256897","702046087","704062793"
"2022-04-21T00:00:00.000","PAPELERIA IDSN PROVEDORES","CO1.RPL.2700736","41787800","INSTITUTO DEPARTAMENTAL DE SALUD DE NARIÑO","891280001","COP","El Instituto Departamental de Salud de Nariño requiere contratar la compra de papel  y carpetas membretadas en la calidad cantidad y especificaciones señaladas para adelantar las actividades programadas en cumplimiento de actividades misionales","MCSG1622","CO1.BDOS.2898487","Mínima cuantía","No","PROVEEDORES DEL SUR","87066883","702832809","704187228"
"2022-04-19T00:00:00.000","JP PN ESPOL MIC 003 2022","CO1.RPL.2697521","15600000","ESPOL","800226849","COP","MANTENIMIENTO PREVENTIVO Y CORRECTIVO ARCHIVADORES RODANTES DE LA ESCUELA DE POSTGRADOS DE POLICÍA MIGUEL ANTONIO LLERAS PIZARRO","PN ESPOL MIC 003 2022","CO1.BDOS.2875153","Mínima cuantía","No","COMERCIALIZADORA ELECTROMERO SAS","900495749","701695355","700030018"
"2020-07-21T00:00:00.000","SANVAL DE COLOMBIA LTDA 1","CO1.RPL.1599442","76269773","ESPOL","800226849","COP","PRESTACIÓN DE SERVICIO DE JARDINERÍA TRATAMIENTO Y MANEJO SILVICULTURAL","PN ESPOL MIC 007 2020","CO1.BDOS.1332632","Mínima cuantía","No","SANVAL DE COLOMBIA SAS","900087525","701695355","709915052"
"2021-05-25T00:00:00.000","IPDTANT0012021 WEUP","CO1.RPL.2106661","49964000","INSTITUTO NACIONAL DE VIAS","800215807","COP","ADMINISTRACIÓN VIAL DE LAS CARRETERAS NACIONALES A CARGO DE LA DIRECCIÓN TERRITORIAL ANTIOQUIA VÍA 9002 NECOCLÍ  PUERTO REY SECTOR NECOCLÍ  EL MELLITO  SAN JUAN DE URABÁ  ARBOLETES PR00000  PR820049 INCLUYE VARIANTE EL MELLITO CÓDIGO 90ANB PASO NACIONAL POR ARBOLETES Y VARIANTE DE ARBOLETES CÓDIGO 90ANA","IPDTANT0012021","CO1.BDOS.1970169","Mínima cuantía","No","WILMER UPARELA  POLANCO","8729850","700676059","707791224"
"2023-02-09T00:00:00.000","COTIZACION ESPOL ADOBE  TEK LF","CO1.RPL.3216122","13050000","ESPOL","800226849","COP","ADQUISICIÓN DE LICENCIAS SUITE ADOBE CREATIVE CLOUD","PN ESPOL SIP 004 2023","CO1.BDOS.3933388","Solicitud de información a los Proveedores","No","TEK SOLUCIONES TECNOLOGICAS SAS","900480656","701695355","700943210"
"2019-10-09T00:00:00.000","INPROSERVICES ING","CO1.RPL.1205249","7789595","ESPOL","800226849","COP","MANTENIMIENTO PREVENTIVO DEL CONTROL DE ACCESO PEATONAL","PN ESPOL MIC 010 2019","CO1.BDOS.946236","Mínima cuantía","No","INPROSERVICES INGENIERÍA SAS","900223883","701695355","705152502"
"2023-05-05T00:00:00.000","PP Contrato interadministrativo para realizar orientación yo atención integral a personas con discapacidad","CO1.RPL.3378072","6915953083","DISTRITO ESPECIAL DE CIENCIA TECNOLOGIA E INNOVACION DE MEDELLIN","890905211","COP","PP Contrato interadministrativo para realizar orientación yo atención integral a personascon discapacidad familiares y cuidadores","35920","CO1.BDOS.4301231","Contratación Directa (con ofertas)","Si","EMPRESA SOCIAL DEL ESTADO METROSALUD","800058016","700221021","704755099"
"2023-05-05T00:00:00.000","Oferta English ScoreEXT","CO1.RPL.3375754","29775307","INSTITUTO TECNOLOGICO  METROPOLITANO","800214750","COP","Adquisición de Licencias de pruebas de Certificación English Score para el Instituto Tecnológico Metropolitano de acuerdo con las especificaciones técnicas","DJUR 69 DE 2023","CO1.BDOS.4352410","Contratación Directa (con ofertas)","Si","EnglishScore","11668751","703000075","719191108"
"2020-10-15T00:00:00.000","INVIAS 093","CO1.RPL.1751716","623933374","INSTITUTO NACIONAL DE VIAS","800215807","COP","INTERVENTORIA TECNICA ADMINISTRATIVA FINANCIERA Y AMBIENTAL PARA EL MANTENIMIENTO Y MEJORAMIENTO DE VIAS TERCIARIAS DEL PROGRAMA COLOMBIA RURAL EN LOS MUNICIPIOS DEL DEPARTAMENTO DE ANTIOQUIA  GRUPO 1","CMADOSRT0932020 Presentación de oferta","CO1.BDOS.1342308","Concurso de méritos abierto","No","CB INGENIEROS SAS","860509943","700676059","701404394"
"2021-09-23T00:00:00.000","Silvicultura DIPOL","CO1.RPL.2342311","48901610","ESPOL","800226849","COP","PRESTACIÓN DEL SERVICIO TRATAMIENTO DE SILVICULTURA EN LA ESCUELA DE POSTGRADOS DE POLICÍA MIGUEL ANTONIO LLERAS PIZARRO","PN ESPOL MIC 012 2021","CO1.BDOS.2247411","Mínima cuantía","No","VLAO INGENIERIA SAS","900953512","701695355","704250133"
"2022-04-19T00:00:00.000","PN ESPOL MIC 003 2022","CO1.RPL.2697894","12971000","ESPOL","800226849","COP","MANTENIMIENTO PREVENTIVO Y CORRECTIVO ARCHIVADORES RODANTES DE LA ESCUELA DE POSTGRADOS DE POLICÍA MIGUEL ANTONIO LLERAS PIZARRO","PN ESPOL MIC 003 2022","CO1.BDOS.2875153","Mínima cuantía","No","CSE","900846370","701695355","702640343"
"2022-06-21T00:00:00.000","SN ANDIVISION ESPOL SA 001 AUDIO Y VIDEO","CO1.RPL.2810553","507058950","ESPOL","800226849","COP","ADQUISICIÓN INSTALACIÓN Y PUESTA EN FUNCIONAMIENTO ELEMENTOS DE AUDIO VIDEO Y ADQUISICIÓN DE SONIDO DE CAMPO ABIERTO","PN ESPOL SA 001 2022 Presentación de oferta","CO1.BDOS.2948320","Selección abreviada subasta inversa","No","ANDIVISION SAS","830088172","701695355","700960164"
"2022-11-03T00:00:00.000","PN ESPOL MIC 010 2022","CO1.RPL.3069749","50881889","ESPOL","800226849","COP","REALIZAR MANTENIMIENTO PREVENTIVO Y CORRECTIVO A TODO COSTO DE LOS EQUIPOS QUE COMPONEN EL SISTEMA DE CONTROL DE ACCESO PEATONAL INGRESO DE LA AV SUBA Y AV BOYACÁ","PN ESPOL MIC 010 2022","CO1.BDOS.3460038","Mínima cuantía","No","CRR SOLUCIONES INTEGRALES SAS","901406206","701695355","711188326"
"2020-07-09T00:00:00.000","INFARMED SAS 006","CO1.RPL.1588338","10424000","ESPOL","800226849","COP","ADQUISICIÓN DE ELEMENTOS PARA LA PREVENCIÓN ATENCIÓN Y MITIGACIÓN DE LA EMERGENCIA SANITARIA PROVOCADA POR EL COVID19 Fumigadora con motor eléctrico Dispensador gel antibacterial automático Mascara respiradora de rostro completo y Guantes de poliuretano","PN ESPOL MIC 006 2020","CO1.BDOS.1322733","Mínima cuantía","No","INFARMED SAS","901053304","701695355","703973198"
"2020-12-10T00:00:00.000","PN ESPOL MIC 022 2020  INNOVA","CO1.RPL.1854124","9345250","ESPOL","800226849","COP","ADQUISICIÓN E INSTALACION DE SEÑALIZACION VISUAL","PN ESPOL MIC 022 2020","CO1.BDOS.1595761","Mínima cuantía","No","INNOVA PUBLICIDAD VISUAL SAS","900406455","701695355","700377021"
"2020-09-21T00:00:00.000","PN ESPOL MIC 014 2020","CO1.RPL.1707972","17316691","ESPOL","800226849","COP","ADQUISICIÓN ELEMENTOS DE SEGURIDAD INDUSTRIAL Y PROTECCIÓN PERSONAL PARA LA ESCUELA DE POSTGRADOS DE POLICÍA","PN ESPOL MIC 014 2020","CO1.BDOS.1452048","Mínima cuantía","No","COMERCIALIZADORA ELECTROMERO SAS","900495749","701695355","700030018"
"2020-09-09T00:00:00.000","ESCUELA DE POSTGRADOS DE POLICÍA MIGUEL ANTONIO LLERAS PIZARRO","CO1.RPL.1688667","40000000","ESPOL","800226849","COP","MANTENIMIENTO PREVENTIVO Y CORRECTIVO A TODO COSTO DE EQUIPOS AUDIOVISUALES DE LA ESCUELA DE POSTGRADOS DE POLICÍA MIGUEL ANTONIO LLERAS PIZARRO","PN ESPOL MIC 011 2020","CO1.BDOS.1429117","Mínima cuantía","No","DIGITAL CENTER VENTAS E IMPORTACIONES JE SAS","901144306","701695355","703787812"
"2023-05-04T00:00:00.000","Prestación de servicios profesionales bacteriologia y laboratorista clinico","CO1.RPL.3376339","41195000","DIRECCION DE ANTINARCOTICOS","800141379","COP","PRESTACIÓN DE SERVICIOS PROFESIONALES BACTERIOLOGA Y LABORATORISTA CLÍNICO CON MAGÍSTER EN MICROBIOLOGA PARA EL DESARROLLO DEL PROYECTO DE INVESTIGACIÓN CARACTERIZACIÓN MOLECULAR Y QUÍMICA DE ESPECIES DE ERYTHROXYLUM PARA LA DIRECCIÓN DE ANTINARCÓTICOS POLICÍA NACIONAL","SC 039 2023","CO1.BDOS.4362494","Solicitud de información a los Proveedores","Si","Lady Maricel Casallas Rodriguez","1026578412","701707648","721557072"
"2022-04-19T00:00:00.000","PN ESPOL MIC 003 2022","CO1.RPL.2696422","18669750","ESPOL","800226849","COP","MANTENIMIENTO PREVENTIVO Y CORRECTIVO ARCHIVADORES RODANTES DE LA ESCUELA DE POSTGRADOS DE POLICÍA MIGUEL ANTONIO LLERAS PIZARRO","PN ESPOL MIC 003 2022","CO1.BDOS.2875153","Mínima cuantía","No","ALL IN SERVICE SAS","900820473","701695355","701089021"
"2022-04-20T00:00:00.000","LOGISTICA ESPOL","CO1.RPL.2699550","69945000","ESPOL","800226849","COP","PRESTACIÓN DE SERVICIOS PARA LA REALIZACIÓN DE LAS ACTIVIDADES RECREATIVAS CULTURALES Y DE RECONOCIMIENTO DEL PERSONAL UNIFORMADO Y NO UNIFORMADO DE LA ESCUELA DE POSTGRADOS DE POLICIA MIGUEL ANTONIO LLERAS PIZARRO Y SUS FAMILIAS","PN ESPOL MIC 005 2022","CO1.BDOS.2899165","Mínima cuantía","No","MULTISERVICIOS JOJMA SAS","900937079","701695355","704109198"
"2022-06-06T00:00:00.000","CCTV REDCOMPUTO","CO1.RPL.2790336","1725369500","ESPOL","800226849","COP","Adquisición actualización instalación integración y mantenimiento del Circuito Cerrado de Televisión CCTV","PN ESPOL SIP 017 2022","CO1.BDOS.2946809","Solicitud de información a los Proveedores","No","REDCOMPUTO LTDA","830016004","701695355","700082050"
"2022-04-28T00:00:00.000","ponal maral","CO1.RPL.2711638","1446238532","ESPOL","800226849","COP","MANTENIMIENTO INTEGRAL PREVENTIVO Y CORRECTIVO PARA LAS INSTALACIONES DE LA ESCUELA DE POSTGRADOS DE POLICÍA MIGUEL ANTONIO LLERAS PIZARRO A PRECIOS UNITARIOS FIJOS SIN FÓRMULA DE REAJUSTE","PN ESPOL SA MC 001 2022 Manifestación de interés Menor Cuantía Presentación de oferta","CO1.BDOS.2880320","Selección Abreviada de Menor Cuantía","Si","Consorcio PNESPOLBOGOTA","No Definido","701695355","717597207"
"2023-05-06T00:00:00.000","BIOAMBIENTE INGENIERIA SASEXT","CO1.RPL.3375533","187361000","ARMADA NACIONAL  BASE NAVAL No1 ARC BOLÍVAR","800141645","COP","CONTRATAR EL SERVICIO DE RECOLECCIÓN TRANSPORTE TRATAMIENTO Y DISPOSICIÓN FINAL DE RESIDUOS PELIGROSOS GENERADOS POR LAS UNIDADES ADSCRITAS A LA FUERZA NAVAL DEL CARIBE DE CONFORMIDAD CON LAS ESPECIFICACIONES TÉCNICAS DESCRITAS EN EL ANEXO A","0047ARCCBNL012023 Manifestación de interés Menor Cuantía Presentación de oferta","CO1.BDOS.4253068","Selección Abreviada de Menor Cuantía","Si","BIOAMBIENTE INGENIERIA SAS","830504411","701189037","704007905"
"2018-12-05T00:00:00.000","PN ESPOL MIC 023 2018","CO1.RPL.789074","11615400","ESPOL","800226849","COP","ADQUISICIÓN MUEBLES CENTRO DE PENSAMIENTO","PN ESPOL MIC 023 2018","CO1.BDOS.617684","Mínima cuantía","No","KYROS LE SAS","9000303846","701695355","701295115"
"2021-05-28T00:00:00.000","la oferta que garantiza el Bienestar del personal de ESPOL","CO1.RPL.2113877","25840000","ESPOL","800226849","COP","ACTIVIDADES PARA EL MEJORAMIENTO DE LAS CONDICIONES PSICOSOCIALES DEL PERSONAL UNIFORMADO Y NO UNIFORMADO ADSCRITOS A LA ESCUELA DE POSTGRADOS DE POLICIA MIGUEL ANTONIO LLERAS PIZARRO Y A SUS FAMILIAS","PN ESPOL MIC 008 2021","CO1.BDOS.1994745","Mínima cuantía","No","PROSERVARIOS SAS","900344142","701695355","702178070"
"2022-10-12T00:00:00.000","INTV SICA SAS","CO1.RPL.3022723","126516099","MUNICIPIO DE BUCARAMANGA","890201222","COP","INTERVENTORIA TECNICA ADMINISTRATIVA FINANCIERA AMBIENTAL DE SALUD OCUPACIONAL Y SEGURIDAD INDUSTRIAL DE LA PRESTACION DEL SERVICIO DE ACTIVIDADES DE PODA PARA EL DESPEJE DE LUMINARIAS Y REDES QUE INTERFIEREN CON EL ALUMBRADO PUBLICO Y TALA DE ÁRBOLES Y MANEJO INTEGRAL DEL COMPONENTE ARBÓREO EN EL ESPACIO PÚBLICO DEL MUNICIPIO DE BUCARAMANGA","SISICMA0102022 Presentación de oferta","CO1.BDOS.3299636","CCE-20-Concurso_Meritos_Sin_Lista_Corta_1Sobre","No","SICA SAS","900515139","704654201","709082051"
"2019-09-26T00:00:00.000","PNESPOLMIC 008 2019 BOGOTA","CO1.RPL.1186578","10000000","ESPOL","800226849","COP","MANTENIMIENTO PREVENTIVO Y CORRECTIVO A TODO COSTO DE AIRES ACONDICIONADOS DE LA ESCUELA DE POSTGRADOS DE POLICÍA MIGUEL ANTONIO LLERAS PIZARRO","PN ESPOL MIC 008 2019","CO1.BDOS.937144","Mínima cuantía","No","REFRIELECTRICOS  INGENIERIAS SAS","901148532","701695355","707024345"
"2020-09-21T00:00:00.000","PN ESPOL MIC 014 2020","CO1.RPL.1707911","10276552","ESPOL","800226849","COP","ADQUISICIÓN ELEMENTOS DE SEGURIDAD INDUSTRIAL Y PROTECCIÓN PERSONAL PARA LA ESCUELA DE POSTGRADOS DE POLICÍA","PN ESPOL MIC 014 2020","CO1.BDOS.1452048","Mínima cuantía","No","IMCOLMEDICA SA","860070078","701695355","701863037"
"2022-08-04T00:00:00.000","Acueducto La Verde","CO1.RPL.2900533","755891047","DISTRITO ESPECIAL DE CIENCIA TECNOLOGIA E INNOVACION DE MEDELLIN","890905211","COP","Interventoría integral a la construcción de sistemas de acueducto y saneamiento básico en la vereda La Verde San Antonio de Prado","0020005029 Presentación de oferta","CO1.BDOS.2969733","CCE-20-Concurso_Meritos_Sin_Lista_Corta_1Sobre","No","CPPV Consorcio Interventores","No Definido","700221021","717585103"
"2022-02-25T00:00:00.000","CAPITALLPR","CO1.RPL.2602851","106413489","ESPOL","800226849","COP","MANTENIMIENTO Y ACTUALIZACIÓN DEL SISTEMA DE CONTROL DE ACCESO VEHICULAR","PN ESPOL SIP 003 2022","CO1.BDOS.2840009","Solicitud de información a los Proveedores","No","CAPITAL NETWORKS SAS","830086643","701695355","700583149"
"2023-05-06T00:00:00.000","COTIZCION  REPUESTOS Y MANTENIMIENTO  CENAC CUCUTA 2023 TPM","CO1.RPL.3372853","26230603338","CENTRAL ADMINISTRATIVA Y CONTABLE DE CUCUTA","900063431","COP","CONTRATAR EL SERVICIO DE MANTENIMIENTO Y SUMINISTRO DE REPUESTOS PARA EL PARQUE AUTOMOTOR VEHÍCULOS Y MOTOS DE LAS UNIDADES CENTRALIZADAS POR LA CENTRAL ADMINISTRATIVA Y CONTABLE REGIONAL CÚCUTA PARA LA VIGENCIA 2023","16SIPCENACCUCUTA2023","CO1.BDOS.4349266","Solicitud de información a los Proveedores","No","TECNIPROYECTOS MIL SAS","900594774","708598693","704272616"
"2022-11-28T00:00:00.000","GAMA CLEANESPOL 0152022","CO1.RPL.3119258","25100000","ESPOL","800226849","COP","PRESTACIÓN DEL SERVICIO DE LAVANDERÍA PARA LA ESCUELA DE POSTGRADOS DE POLICÍA MIGUEL ANTONIO LLERAS PIZARRO","PN ESPOL MIC 015 2022","CO1.BDOS.3548253","Mínima cuantía","No","JOSE ARTURO SAENZ IBAGUE","19331785","701695355","706703352"
"2022-06-21T00:00:00.000","OFERTA UT SICVEL ESPOL 2022","CO1.RPL.2805880","507055400","ESPOL","800226849","COP","ADQUISICIÓN INSTALACIÓN Y PUESTA EN FUNCIONAMIENTO ELEMENTOS DE AUDIO VIDEO Y ADQUISICIÓN DE SONIDO DE CAMPO ABIERTO","PN ESPOL SA 001 2022 Presentación de oferta","CO1.BDOS.2948320","Selección abreviada subasta inversa","No","UT SICVEL ESPOL 2022","No Definido","701695355","718078918"
"2021-04-19T00:00:00.000","OFERTA PROYECTAR SAS  PN ESPOL SA MC 001 2021","CO1.RPL.2027022","114064356","ESPOL","800226849","COP","MANTENIMIENTO INTEGRAL PREVENTIVO Y CORRECTIVO PARA LAS INSTALACIONES DE LA ESCUELA DE POSTGRADOS DE POLICÍA MIGUEL ANTONIO LLERAS PIZARRO A PRECIOS UNITARIOS FIJOS SIN FÓRMULA DE REAJUSTE","PN ESPOL SA MC 001 2021 Manifestación de interés Menor Cuantía Presentación de oferta","CO1.BDOS.1858329","Selección Abreviada de Menor Cuantía","Si","PROYECTAR INGENIERIA Y ARQUITECTURA SAS","900782420","701695355","701968083"
